"날짜","출발지","도착지","일별이동횟수","유형","타입","수량"
"20150113","4116327","4217111",1,"N11","직송",192
"20150116","4202649","4002249",1,"N11","직송",8
"20150529","4142683","4218122",1,"N11","직송",0
"20150623","4024790","4161298",1,"N11","직송",256
"20150626","4024790","4019365",1,"N11","직송",256
"20150812","4189182","4044843",1,"N11","직송",10
"20151102","4189182","4044843",1,"N11","직송",10
"20151029","4177719","4201327",1,"N11","직송",10
"20151110","4189182","4218152",1,"N11","직송",12
"20141227","4142683","4163628",1,"N11","직송",12
"20150124","4189182","4121135",1,"N11","직송",3
"20150127","4024790","4075221",1,"N11","직송",256
"20150225","4024790","4045252",1,"N11","직송",256
"20150327","5082584","4024336",1,"N11","직송",220
"20150422","4024790","4024490",1,"N11","직송",256
"20150422","4024790","4070253",1,"N11","직송",256
"20180314","4082771","4093342",1,"N11","직송",100
"20180314","4082771","4168220",1,"N11","직송",224
"20180301","4024790","4171765",1,"N11","직송",224
"20180328","5166129","4078616",1,"N11","직송",144
"20180330","4056326","4053097",1,"N11","직송",256
"20180417","4082771","4247538",1,"N11","직송",160
"20180419","5296719","4220107",1,"N11","직송",115
"20180420","4082771","4224206",1,"N11","직송",196
"20180504","4024790","4151508",1,"N11","직송",192
"20180504","4024790","4233361",1,"N11","직송",210
"20180510","5301193","4078616",1,"N12","직송",31
"20180511","4024790","4198128",1,"N11","직송",288
"20180511","4042492","4002754",1,"N11","직송",288
"20180518","5285162","4100509",1,"N11","직송",214
"20180531","4196377","4226447",1,"N11","직송",256
"20180528","4056326","4173467",1,"N11","직송",256
"20180528","5040428","4102073",1,"P13","직송",53
"20180529","4183890","4035424",1,"N11","직송",288
"20180529","5006079","4215340",1,"N11","직송",95
"20180605","4013119","4280979",1,"N11","직송",128
"20180615","4013119","4281096",1,"N11","직송",192
"20170927","4042492","4010409",1,"N11","직송",192
"20170927","4042492","4024336",1,"N11","직송",192
"20170927","4175168","4065244",1,"N12","직송",192
"20170927","4214338","4027531",1,"N12","직송",192
"20170928","5000140","4172159",1,"N11","직송",112
"20170928","5036850","4129507",1,"N11","직송",240
"20170928","5050170","4002955",1,"N11","직송",75
"20170928","5084806","4066027",1,"N11","직송",1
"20171019","5186306","4193392",1,"N11","직송",256
"20171110","5117562","4258423",1,"N11","직송",110
"20171113","4210963","4023806",1,"N11","직송",256
"20171206","5040298","4092202",1,"N11","직송",2
"20171209","4024790","4171765",1,"N11","직송",192
"20171211","5186306","4208887",1,"N11","직송",30
"20171213","4082771","4041177",1,"N11","직송",112
"20171213","4082771","4203151",1,"N11","직송",256
"20171214","5091801","4143074",1,"N11","직송",25
"20171214","5198222","4212790",1,"N11","직송",15
"20180104","4024790","4295463",1,"N11","직송",288
"20180104","4082771","4175531",1,"N11","직송",256
"20180208","5259695","4224998",1,"N11","직송",56
"20180326","4056326","4237060",1,"N11","직송",200
"20180426","4214338","4277065",1,"N12","직송",256
"20180426","4024790","4057097",1,"N11","직송",288
"20180501","4056326","4258722",1,"N12","직송",48
"20180517","4084453","4026333",1,"N11","직송",256
"20180518","4013119","4280979",1,"N11","직송",256
"20180611","5254883","4035424",1,"N11","직송",264
"20180612","4042492","4041342",1,"N11","직송",288
"20180608","4024790","4159912",1,"N11","직송",288
"20170927","5011907","4044535",1,"N11","직송",17
"20170930","5082419","4094031",1,"N11","직송",280
"20171028","4082771","4100509",1,"N11","직송",288
"20171121","5096067","4088591",1,"N11","직송",60
"20171121","5117562","4226314",1,"N11","직송",50
"20171121","5117562","4270272",1,"N11","직송",120
"20171115","4042492","4121144",1,"N11","직송",256
"20171120","5239891","4078616",1,"N11","직송",20
"20171123","5186306","4285507",1,"N11","직송",310
"20171123","5230235","4226451",1,"N11","직송",40
"20171127","5166129","4078616",1,"N11","직송",114
"20171215","4027684","4182721",1,"N11","직송",160
"20171219","4024790","4048903",1,"N11","직송",256
"20171220","5138404","4024336",1,"N11","직송",192
"20180109","5138404","4024336",1,"N11","직송",192
"20180202","4025527","4081240",1,"N11","직송",256
"20180205","5166129","4078616",1,"N11","직송",95
"20180205","5186306","4108994",1,"N11","직송",192
"20180206","4024790","4233361",1,"N11","직송",224
"20180209","4024790","4024336",1,"N11","직송",288
"20180215","4056326","4097091",1,"N11","직송",192
"20180310","5082584","4024336",1,"N11","직송",150
"20180312","4024790","4123784",1,"N11","직송",100
"20180331","4082771","4165918",1,"N11","직송",192
"20180402","4024790","4048903",1,"N11","직송",288
"20180402","4024790","4202649",1,"N11","직송",192
"20180402","4025527","4191241",1,"N11","직송",192
"20180402","4082771","4311557",1,"N11","직송",192
"20180507","4082771","4182093",1,"N11","직송",192
"20180508","4003102","4158878",1,"L14","직송",24
"20180508","4013119","4280979",1,"N11","직송",288
"20180508","4024790","4033595",1,"N11","직송",256
"20180502","4024790","4153135",1,"N11","직송",192
"20180502","4024790","4171765",1,"N11","직송",224
"20180524","5254883","4175894",1,"N11","직송",256
"20180525","4024790","4024336",1,"N11","직송",576
"20180514","4220026","4132936",1,"N11","직송",160
"20180515","4074263","4280978",1,"N11","직송",192
"20180515","4082771","4279461",1,"N11","직송",256
"20180516","4024790","4062384",1,"N11","직송",256
"20180613","5081094","4129554",1,"N11","직송",180
"20180613","5161739","4228288",1,"N11","직송",50
"20180613","5186306","4208887",1,"N11","직송",20
"20180608","5081094","4013657",1,"N11","직송",176
"20171101","4082771","4191759",1,"N11","직송",192
"20171121","4056326","4097091",1,"N11","직송",288
"20171221","5282614","4237375",1,"N11","직송",22
"20171222","4025527","4215252",1,"N11","직송",256
"20171222","4042492","4295463",1,"N11","직송",256
"20171226","4082771","4120808",1,"N11","직송",192
"20171226","4165600","4113003",1,"N11","직송",192
"20180115","4183890","4220026",1,"N11","직송",256
"20180116","5254883","4035424",1,"N11","직송",552
"20180117","4013119","4270242",1,"N11","직송",256
"20180117","4024790","4010573",1,"N11","직송",256
"20180118","5082419","4115531",1,"N11","직송",279
"20180123","4196377","4097091",1,"N11","직송",288
"20180125","4042492","4081167",1,"N11","직송",288
"20180126","5040574","4250864",1,"N11","직송",15
"20180206","4056326","4218887",1,"N11","직송",144
"20180314","4183890","4304943",1,"N11","직송",256
"20180315","5138404","4024336",1,"N11","직송",192
"20180320","4082771","4081240",1,"N11","직송",192
"20180323","4024790","4056322",1,"N11","직송",288
"20180412","5038947","4117635",1,"N11","직송",100
"20180508","5301193","4078616",1,"N12","직송",44
"20180530","5138404","4024336",1,"N11","직송",192
"20180526","5186306","4100509",1,"N11","직송",224
"20180521","5293044","4041880",1,"N11","직송",42
"20180522","4002696","4137809",1,"N11","직송",192
"20180531","4082771","4170942",1,"N11","직송",256
"20171012","4024790","4075346",1,"N11","직송",256
"20171012","4024790","4111640",1,"N11","직송",288
"20171016","4024790","4233361",1,"N11","직송",224
"20171108","4042492","4024246",1,"N11","직송",288
"20171108","4082771","4213400",1,"N11","직송",192
"20171228","4024790","4295463",2,"N11","직송",576
"20171230","4024790","4122054",1,"N11","직송",192
"20171231","4092368","4045387",1,"N11","직송",1
"20180119","4024790","4056322",1,"N11","직송",288
"20180129","4082771","4215252",1,"N11","직송",256
"20180329","4042492","4264137",1,"N11","직송",256
"20180329","4077960","4005698",1,"N12","직송",192
"20180330","4247850","4280656",1,"N12","직송",100
"20180503","4056326","4121779",1,"N11","직송",128
"20180503","4082771","4107873",1,"N11","직송",192
"20180503","4158934","4158878",1,"L14","직송",24
"20180504","5163780","4005698",1,"N12","직송",10
"20180516","4024790","4103047",1,"N11","직송",288
"20180511","5082584","4024336",1,"N11","직송",160
"20180528","5186306","4100509",1,"N11","직송",224
"20180605","4198807","4133302",1,"N11","직송",253
"20170927","5016527","4055335",1,"N11","직송",200
"20171009","4082771","4190254",1,"N11","직송",100
"20170925","4082786","4237969",1,"N11","직송",256
