,1025,1041,1057,1091,1111,1117,1119,1127,1163,1216,1242,1261,1298,1355,1373,1375,1376,1390,1396,1627,1652,1656,1692,1729,1745,1754,1797,1800,1815,1817,1852,1853,1878,1891,y_sum
2010-01-18,40.0,3975.0,0.0,320.0,0.0,0.0,0.0,0.0,0.0,0.0,400.0,3582.0,0.0,253.0,1190.0,1070.0,10.0,0.0,112.0,1874.0,0.0,566.0,6576.0,112.0,560.0,158.0,778.0,0.0,44099.0,0.0,0.0,4825.0,4119.0,464.0,75083.0
2010-01-19,51.0,6918.0,0.0,388.0,0.0,0.0,0.0,0.0,0.0,0.0,221.0,2978.0,0.0,112.0,448.0,416.0,0.0,0.0,0.0,1870.0,0.0,357.0,7862.0,95.0,1026.0,405.0,0.0,0.0,42713.0,320.0,0.0,4698.0,5569.0,320.0,76767.0
2010-01-20,245.0,3567.0,0.0,224.0,0.0,0.0,0.0,0.0,0.0,69.0,598.0,2644.0,0.0,423.0,962.0,248.0,0.0,0.0,280.0,1621.0,0.0,918.0,8085.0,492.0,812.0,756.0,161.0,0.0,40365.0,0.0,0.0,5217.0,3824.0,144.0,71655.0
2010-01-21,252.0,4758.0,0.0,32.0,0.0,0.0,0.0,100.0,0.0,546.0,700.0,3068.0,0.0,254.0,1090.0,448.0,10.0,0.0,416.0,1222.0,0.0,435.0,8872.0,110.0,448.0,368.0,1379.0,0.0,34943.0,0.0,0.0,4728.0,5163.0,0.0,69342.0
2010-01-22,360.0,3970.0,0.0,414.0,0.0,0.0,0.0,0.0,0.0,214.0,464.0,2346.0,0.0,352.0,912.0,1024.0,0.0,0.0,288.0,2775.0,0.0,646.0,6810.0,160.0,664.0,375.0,720.0,30.0,37524.0,0.0,0.0,4636.0,6225.0,144.0,71053.0
2010-01-23,0.0,4852.0,0.0,128.0,0.0,0.0,0.0,0.0,0.0,48.0,78.0,1076.0,0.0,110.0,212.0,964.0,40.0,0.0,0.0,1337.0,0.0,142.0,3094.0,91.0,480.0,405.0,538.0,0.0,29112.0,0.0,0.0,3410.0,1806.0,758.0,48681.0
2010-01-24,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1500.0,0.0,0.0,400.0,192.0,0.0,2192.0
2010-01-25,144.0,6644.0,0.0,488.0,0.0,0.0,0.0,137.0,0.0,0.0,544.0,4334.0,0.0,64.0,340.0,188.0,0.0,0.0,0.0,1544.0,0.0,79.0,6875.0,82.0,166.0,307.0,632.0,0.0,38761.0,0.0,0.0,4404.0,3256.0,0.0,68989.0
2010-01-26,158.0,6499.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,90.0,655.0,3820.0,0.0,209.0,194.0,1175.0,0.0,0.0,0.0,2199.0,0.0,574.0,6625.0,228.0,1120.0,517.0,1319.0,0.0,47845.0,0.0,0.0,5532.0,5042.0,0.0,83813.0
2010-01-27,361.0,3928.0,0.0,352.0,0.0,0.0,0.0,0.0,0.0,165.0,498.0,3438.0,0.0,80.0,1099.0,856.0,0.0,0.0,18.0,2292.0,0.0,470.0,7475.0,137.0,999.0,325.0,2116.0,0.0,37623.0,0.0,0.0,5300.0,5597.0,170.0,73299.0
